Vmag,Plx,e_Plx,B-V,SpType
8.3,11.28,0.79,0.524,F6V
6.66,15.31,1.35,0.589,F5
9.32,7.11,1.37,0.929,K0
7.71,11.3,1.39,0.599,F8
11.36,24.12,2.91,1.22,K7
11.3,22.54,2.33,1.4,M1
8.82,10.73,1.1,0.552,G0
6.46,20.47,0.89,0.386,F3V
8.25,10.52,0.72,0.589,G0IV
11.3,21.8,1.97,1.31,K7
7.89,7.31,0.89,0.02,A2
8.35,6.34,1.06,0.317,A3
9.09,14.58,1.15,0.635,G5
10.99,28.38,2.31,1.414,M0
7.67,8.06,0.76,0.271,A8IV
9.37,5.32,0.99,0.293,A5
7.79,12.92,0.73,0.772,K0I
6.19,9.89,0.98,0.937,K0II
7.1,5.41,1.02,0.9,G5
7.92,6.42,0.66,0.621,F8V
7.21,21.66,0.87,0.477,F6V
9.56,8.35,1.47,0.577,G2
7.38,6.13,0.94,1.029,K0
8.88,16.24,1.26,0.542,F9V
6.54,7.14,0.82,0.97,G8II
8.47,8.19,1.55,0.324,F2
9.94,16.75,1.48,0.82,G9
6.51,38.24,0.85,0.599,G2V
9.7,8.82,1.54,0.624,F8
7.2,12.21,0.97,0.309,F0
6.83,5.31,0.73,1.319,K0
9.31,10.55,1.26,0.632,G5V
8.1,6.63,1.19,1.03,G5
7.56,6.06,0.75,0.237,A3
10.88,61.67,2.2,1.479,M0
6.07,7.28,0.89,1.036,K0III
8.68,6.06,1.2,0.49,F5V
8.94,14.05,1.13,0.57,G0
9.16,5.46,1.02,0.889,G8
4.51,23.11,0.68,0.054,A2V
8.09,280.27,1.05,1.56,M1V
7.08,6.22,0.88,1.186,K3III
7.84,8.87,1.18,0.586,F8
7.98,7.47,0.93,0.511,F5
7.46,24.42,0.68,0.537,F8
8.82,9.58,1.73,0.4,F2
7.18,4.01,0.58,-0.052,B9
7.47,15.08,0.88,0.468,F6V
7.27,8.17,1.52,0.174,A2
5.88,6.0,0.77,-0.014,A0IV
7.14,8.99,0.84,0.885,G8IV
7.05,9.28,0.75,0.115,A2
