Vmag,Plx,e_Plx,B-V,SpType
8.72,7.99,1.2,0.454,F5
8.31,6.18,1.14,0.559,F8
7.86,10.02,0.87,0.391,F5IV
7.98,7.37,1.1,0.033,B9
8.12,7.37,1.07,0.503,F5
6.72,24.56,0.85,0.508,F6V
8.47,4.73,0.79,0.976,K0III
5.9,19.38,0.8,0.358,F3V
6.76,2.99,0.53,1.434,K3III
6.32,6.92,0.74,1.116,K1III
6.28,4.53,0.6,1.512,K5
7.75,8.86,1.3,0.128,A2
7.96,12.32,1.12,0.593,G0
8.01,7.75,0.8,0.297,A3
8.48,3.62,0.71,0.373,F0
7.17,3.65,0.57,0.949,G8III
7.43,10.24,0.82,0.541,F8
8.0,5.87,0.71,0.984,G8
8.29,4.75,0.68,0.035,A0V
7.58,10.29,1.91,0.451,F5
5.88,16.96,0.86,0.374,F4V
5.8,12.4,0.55,0.027,A0V
7.44,3.51,0.65,-0.005,A0IV
8.59,5.66,1.07,0.326,A0
8.78,12.37,1.03,0.535,G0
7.84,20.51,0.68,0.595,G0V
8.78,11.35,1.35,0.521,G0
8.31,4.64,0.7,1.013,K2
7.87,5.63,0.85,0.029,A0V
7.51,10.23,0.6,0.168,A5V
9.93,5.47,0.99,0.534,F5
9.42,23.97,1.45,0.888,K2V
7.19,6.92,0.85,0.274,F0IV
8.08,5.63,0.85,1.032,K0
8.45,36.53,0.74,0.844,K0V
5.79,12.25,0.56,0.041,A1V
6.7,8.27,0.64,0.5,F5IV
8.29,31.3,0.97,0.783,G5
8.34,27.0,1.11,0.771,G5
9.17,8.18,0.84,0.997,K1
6.12,37.9,0.83,0.6,G0V
4.67,19.14,0.7,0.046,A0V
5.72,9.82,0.46,-0.024,A0V
7.24,18.22,0.58,0.551,F7V
7.59,12.42,0.84,0.549,F5
8.95,31.38,1.16,0.868,K1V
8.85,5.17,0.73,0.168,A4V
7.7,5.04,0.99,0.919,G8III
7.44,5.34,0.89,0.467,F2
8.29,5.28,0.77,0.362,F2V
8.4,32.95,1.06,0.846,G5
9.1,22.11,0.81,0.9,K0IV
10.88,17.02,2.57,1.009,K4
5.46,6.86,0.75,0.064,A2V
5.35,8.57,0.84,0.251,A4
8.73,11.5,1.33,0.548,F8
6.6,5.78,0.75,0.945,G8III
6.42,7.87,0.73,1.011,K0
7.01,5.94,0.57,0.002,A0
6.76,64.71,0.91,0.814,K0
6.15,10.13,0.96,0.246,A
7.2,10.27,0.58,0.347,F0III
7.4,13.19,0.81,0.393,F2
9.4,36.33,0.87,1.107,K5V
6.96,10.0,0.72,0.384,F0
7.42,4.08,0.78,0.988,K0III
6.7,3.4,0.51,1.363,K3III
7.47,7.17,0.83,0.148,A3V
8.83,6.25,0.79,0.345,A9IV
7.16,4.91,0.92,0.067,A0
7.99,5.96,1.07,0.233,A3
6.58,14.48,0.9,0.228,A5
6.83,21.38,0.55,0.463,F3V
6.48,8.76,0.54,1.162,K1III
7.74,8.89,0.85,0.255,A3
5.04,8.28,0.46,1.256,K2
5.82,3.1,0.54,-0.137,B4V
7.12,6.18,0.57,0.317,A9IV
9.41,10.37,1.2,0.549,G5
7.92,9.24,0.89,0.543,F7V
7.34,27.97,1.05,0.543,F5
6.94,11.61,0.99,0.455,F2
8.61,13.77,1.43,0.677,G0
9.05,7.25,0.92,0.505,F8
7.51,4.66,0.92,0.402,F2
8.49,7.75,1.06,0.415,F2
7.25,4.75,0.59,1.018,G8
8.3,4.75,0.7,1.045,K0III
7.8,4.86,0.65,0.014,A0V
5.0,4.28,0.54,-0.095,B8IV
8.92,10.61,1.33,0.701,G5
10.62,25.92,3.78,1.2,M0
4.42,6.1,0.88,-0.164,B3IV
8.09,9.31,0.67,0.74,G6V
8.07,6.55,0.78,0.833,G8IV
7.18,4.1,0.65,1.221,K1III
5.28,4.59,0.66,1.661,M1III
6.76,9.01,0.53,0.317,F0V
9.25,4.46,0.81,0.518,F6V
8.49,8.73,1.36,0.551,F8
8.97,28.92,1.31,0.867,K2V
5.5,12.48,0.49,0.007,A0V
9.75,40.12,1.78,1.25,K8
6.96,6.16,0.89,1.158,K2
7.68,3.49,0.6,0.978,G8
7.68,6.54,1.14,0.939,G5IV
8.02,22.46,1.12,0.626,G0V
7.2,6.74,0.55,0.313,F0IV
7.29,8.9,1.2,0.344,F0
8.54,14.4,1.61,0.559,F5
8.31,12.99,1.15,0.461,F8
6.95,21.83,0.88,0.467,F5V
7.88,5.83,1.12,0.111,A0
7.52,9.82,1.25,0.5,A2V
9.67,7.71,0.87,0.6,G0V
8.83,12.75,0.82,0.556,F7V
9.03,5.31,0.77,0.126,A0
8.21,10.99,0.65,0.593,F7V
8.67,9.8,0.71,0.689,G2V
8.9,9.86,0.85,0.957,K0V
8.02,4.66,0.87,0.175,A0
7.91,5.84,1.01,0.094,A2IV
7.43,4.74,0.91,0.142,A0
8.31,11.17,1.13,0.44,F2
9.78,17.08,2.29,0.881,G5
8.77,17.32,1.25,0.625,G5
6.34,8.5,0.79,1.044,G9III
8.28,16.19,1.29,0.561,F8
6.79,13.02,1.28,0.0,A2
6.26,4.34,0.5,-0.135,B8II
8.01,5.92,0.91,0.39,A0
10.39,31.69,2.41,1.687,M0
8.71,15.51,1.11,0.647,G5
5.06,11.78,0.48,-0.072,B8V
6.69,7.78,0.85,0.069,A2
6.46,8.98,0.89,0.876,G5
7.94,4.29,0.62,1.017,K0III
7.97,11.91,0.97,0.536,F8
8.02,10.25,0.68,0.453,F3V
7.05,5.79,0.83,0.972,G5
8.0,6.45,0.7,0.113,A0V
5.49,12.77,0.7,-0.01,A0V
7.96,5.66,1.11,0.159,A2
7.61,4.29,0.58,-0.015,B9IV
7.43,3.91,0.63,0.176,A1III
9.51,9.54,1.53,0.671,G5
7.45,8.14,1.08,0.313,F0III
7.39,8.81,0.84,0.291,F0IV
7.71,7.07,0.87,0.081,A
6.36,7.96,0.71,-0.04,B9V
9.1,10.17,0.83,0.682,G5V
7.84,6.05,1.2,1.216,K0III
6.48,16.63,0.52,0.502,F8V
8.41,12.89,1.34,0.538,F7V
9.43,5.75,0.95,0.477,F3
7.51,13.83,0.64,0.657,G6III
8.24,10.11,1.07,0.548,F7V
5.56,15.35,0.7,1.15,K2III
8.45,33.42,1.21,0.895,G0
6.16,16.39,0.87,0.352,F3IV
7.28,14.36,0.59,0.483,F5V
9.9,16.08,1.85,0.94,K0
8.51,6.56,0.69,0.409,F3V
7.72,5.44,0.95,1.225,K2III
6.27,7.49,0.62,1.01,G8
5.71,18.48,0.74,0.454,F5V
6.57,6.48,0.84,1.02,K0
7.96,9.93,1.28,0.508,F8
7.66,19.82,1.32,0.568,G0V
8.44,25.0,1.16,0.79,K0
9.56,9.36,1.02,0.76,G6V
5.35,9.34,0.69,1.096,G8III
8.48,22.18,1.41,0.67,G2V
8.49,4.98,0.69,0.463,F2
8.96,9.66,0.9,0.526,F7V
8.45,8.29,1.14,0.418,F5
5.54,3.82,0.51,1.665,M2II
8.95,5.04,0.89,0.558,G0V
8.94,11.3,1.63,0.618,G0
5.08,98.54,0.45,0.714,G5V
8.9,11.27,0.84,0.575,G0V
7.74,5.64,1.01,1.074,G7III
7.06,5.38,1.05,0.945,G5
6.9,3.99,0.77,-0.076,B8V
10.48,106.43,1.44,1.514,M3
6.83,4.13,0.55,0.028,A1V
7.65,10.15,0.63,0.488,F5
6.65,6.35,0.65,0.775,G6III
5.72,9.84,0.58,1.072,K1III
8.15,173.19,1.12,1.487,M1
7.69,3.66,0.59,1.418,K3III
8.2,7.88,1.13,0.601,F8
7.71,12.33,0.93,0.407,F0
8.68,8.05,1.24,0.53,F7V
6.28,4.92,0.5,-0.012,A0V
7.64,7.48,0.54,0.166,A2
8.03,10.25,0.63,0.451,F3V
7.45,13.39,0.59,0.385,F0III
7.14,4.78,0.84,0.988,K0III
10.41,92.77,4.56,1.45,M3
7.86,9.69,0.96,0.319,A3
8.46,9.11,0.9,1.004,G5
11.29,33.59,4.23,1.42,K
6.15,5.91,0.87,0.01,A0
8.8,23.58,1.09,0.995,K3V
6.08,4.83,0.61,-0.021,B9
8.92,10.38,0.81,0.623,G2
5.01,4.86,0.48,1.599,M2
7.36,3.45,0.66,1.163,K0III
6.85,11.85,0.79,0.176,A2
7.97,6.73,0.66,0.312,A9III
6.78,7.36,0.79,0.267,A
8.39,9.75,0.68,0.334,F0IV
7.4,7.67,0.75,0.101,A2
6.04,7.58,0.82,0.021,A0V
6.95,5.43,0.94,1.008,G5
9.31,25.91,0.95,0.943,K2V
7.55,8.18,0.94,0.246,A2
7.13,10.74,0.97,1.33,K2
5.83,4.33,0.83,1.11,K0III
9.13,5.65,1.0,0.456,F2V
8.88,6.34,1.25,0.358,F0
8.15,4.61,0.67,0.917,G6III
5.78,10.49,0.96,0.1,A3V
7.66,12.41,1.17,0.43,F3V
8.84,13.7,1.16,0.617,G1V
7.27,5.24,1.02,1.289,K0
7.93,10.75,1.0,0.35,F2V
7.32,13.71,0.89,0.422,F0
8.81,8.21,0.82,0.476,F5V
6.6,5.2,0.71,0.99,K0III
6.18,5.52,1.09,-0.079,B9
9.8,13.35,1.62,0.75,G5
6.28,9.97,0.81,0.141,A5
7.87,5.12,0.63,0.05,A1IV
7.48,19.24,0.74,0.484,F5
4.45,5.14,0.78,-0.18,B3IV
7.33,5.08,0.54,0.953,G5III
8.98,9.77,1.66,0.686,G5V
6.85,43.26,0.87,0.642,G4V
6.85,16.49,1.46,0.481,F6V
9.49,13.21,1.82,0.836,K0V
7.51,8.89,1.45,0.368,F0V
8.4,6.47,0.77,0.286,A1
9.23,6.41,1.28,0.942,K0
10.58,9.87,1.26,0.75,G2
7.82,14.41,1.0,0.792,G5
9.35,6.93,1.37,0.417,F0
7.44,10.56,0.82,0.5,F5V
7.79,10.43,0.62,0.409,F3V
6.59,4.31,0.78,-0.066,B9
8.32,7.15,0.98,0.21,A5V
8.67,5.96,0.91,0.222,A7V
8.15,5.25,0.64,0.117,A2V
8.31,19.82,0.73,0.658,G3V
7.39,6.71,0.83,0.977,K0
7.91,5.03,0.94,0.993,G8III
8.9,7.02,1.25,0.597,G0
6.62,6.88,0.75,0.051,A2V
5.36,5.08,0.61,1.344,K2II
9.13,8.77,1.43,0.63,G5
6.91,5.61,0.94,-0.07,B9
8.71,7.91,1.0,0.949,K0III
9.4,7.27,1.44,0.568,G0
7.47,5.14,0.66,0.953,G5
8.24,9.65,1.15,0.813,G5
7.28,7.12,0.71,0.025,A0V
6.45,4.6,0.9,1.621,M
8.39,11.42,1.51,0.371,F2
6.94,8.46,1.0,1.127,K0
9.04,11.76,0.81,0.556,F8V
8.53,5.38,0.76,0.409,F2IV
6.43,55.2,0.96,0.663,G8V
7.36,6.94,0.97,1.02,G7III
7.99,6.78,0.8,0.198,A3V
9.53,7.28,0.87,0.746,G6V
9.2,9.06,1.44,0.483,F8
8.06,7.55,1.01,0.438,F2
6.85,4.26,0.84,1.001,G8III
8.03,4.69,0.88,-0.065,B9III
9.5,7.7,1.0,0.685,G5V
7.72,12.64,0.99,0.543,F8
6.52,4.25,0.72,-0.105,B7V
9.67,40.38,1.41,1.21,M0
8.98,18.2,2.18,0.817,G8
8.04,6.4,1.0,0.485,F5
8.05,5.08,0.64,0.181,A5V
6.77,6.09,0.51,1.161,K1
7.28,8.2,0.57,0.465,F5IV
8.46,6.5,1.05,0.063,B9
6.85,9.17,0.55,0.072,A2
7.16,5.75,0.93,0.083,A2
6.37,59.9,0.75,0.713,G5V
6.07,8.08,0.76,1.051,K1III
8.1,4.06,0.73,1.135,K0III
7.41,16.16,1.12,0.992,K0
5.83,10.36,0.73,0.91,G8III
7.67,3.93,0.64,0.994,G6
6.78,5.99,0.95,-0.004,B9
7.36,15.1,1.25,0.389,F2
10.37,20.95,2.67,0.99,K3
7.53,4.6,0.9,0.355,F0
7.82,7.86,1.2,0.195,A0
7.7,6.76,0.65,0.457,F5V
8.81,16.4,0.8,0.712,G6V
8.82,15.64,0.78,0.58,G0V
7.91,13.36,1.85,0.65,G2V
7.69,9.52,0.92,0.137,A0
9.0,7.34,1.45,0.553,F7
8.39,6.35,0.71,0.465,F5V
8.39,33.74,1.33,0.876,K0
9.03,8.23,1.24,0.738,G0
6.98,6.09,0.8,-0.013,A0V
8.81,7.18,1.26,0.649,F8
5.83,5.28,0.83,-0.155,B5V
9.54,7.43,1.01,0.525,F8
8.11,7.34,0.98,0.244,A5
6.61,4.39,0.48,-0.038,B8V
6.66,6.2,1.01,0.942,G8III
8.96,6.08,1.09,0.977,G8V
8.7,20.54,1.08,0.835,G8V
8.55,4.89,0.69,0.15,A2IV
9.35,8.94,0.81,0.741,G5V
5.2,47.33,0.86,0.43,F6V
3.99,5.06,0.9,1.319,K3III
8.32,12.72,0.69,0.554,F8V
7.63,9.55,0.74,0.307,A3
8.17,15.67,1.16,0.589,F8V
7.64,11.62,1.05,0.256,A
7.72,4.79,0.79,1.004,G7III
7.81,7.56,1.26,0.554,F8
7.31,9.04,0.78,0.025,A1V
7.57,11.73,0.94,0.539,F5
6.62,31.95,0.51,0.562,F8V
8.07,5.61,1.05,-0.094,B9
5.88,3.51,0.63,1.322,K2III
7.94,8.3,0.62,0.245,A6V
8.92,14.04,1.41,0.524,G0
5.99,15.66,0.71,1.058,K1III
7.72,3.12,0.62,0.931,G8III
4.32,19.31,0.83,1.021,G8III
8.3,15.2,0.78,0.482,F5V
6.6,6.71,0.91,0.119,A2
9.36,9.44,1.58,0.58,G0
5.34,6.8,0.93,-0.101,B7V
6.09,4.27,0.77,-0.081,B9III
5.99,15.03,0.76,0.097,A5IV
5.62,28.02,0.76,0.506,F6V
7.05,26.36,0.72,0.508,F5
8.2,10.07,0.92,0.539,F6
8.88,15.87,0.72,0.63,G2V
6.86,20.7,2.44,0.44,F4V
9.12,7.22,1.43,0.994,K0
7.32,3.02,0.58,-0.089,B9IV
6.07,4.39,0.8,-0.124,B6V
5.37,6.54,0.7,1.339,K3III
5.0,8.7,0.9,-0.078,B9V
9.48,4.95,0.88,0.43,F3
6.37,10.76,0.77,0.443,F5IV
8.94,3.75,0.73,0.258,A3
6.84,12.04,0.96,1.22,K3III
9.19,10.12,1.2,0.618,G2
10.79,9.27,1.81,0.642,K0
6.67,4.93,0.74,1.545,K4III
7.64,5.35,0.96,0.379,F0
7.43,38.89,0.74,0.776,G5
6.59,5.37,0.78,1.004,G8II
8.04,6.04,1.02,0.077,A0
8.9,6.59,0.77,0.467,F5V
5.97,3.9,0.72,-0.167,B2
8.82,10.76,0.84,0.665,G3V
7.48,18.9,0.97,0.599,G0
7.76,16.1,0.66,0.46,F3
6.44,27.5,0.5,0.593,G1V
6.09,7.48,0.84,0.897,G8III
9.39,17.05,0.92,0.77,G8V
5.04,51.0,0.9,0.431,F5IV
7.19,5.55,0.63,1.129,K0III
8.9,6.28,1.18,0.526,F5
8.65,26.99,0.83,0.927,K1IV
4.37,17.83,0.55,0.978,G8II
6.0,8.35,0.53,0.163,A2V
9.35,29.76,2.16,1.106,K2
7.49,3.92,0.61,1.256,K1III
9.18,20.39,1.3,0.769,K0
8.64,15.61,1.26,0.566,G0
7.34,6.6,0.57,-0.009,A0V
8.19,6.05,0.76,0.11,A2V
9.05,24.87,1.15,0.79,G9V
8.85,9.14,1.28,0.558,F8IV
7.48,18.86,0.92,0.605,G0V
10.08,10.42,1.74,0.651,G5
8.47,12.68,1.63,0.54,F8V
8.19,14.21,0.92,0.491,F6V
5.54,10.78,0.51,1.129,K2III
6.05,25.06,0.68,0.576,F8
7.81,5.56,0.9,0.079,A0
7.62,4.62,0.62,0.06,A0V
7.89,7.93,0.7,0.3,A8
5.39,12.85,0.8,0.106,A2V
7.03,9.34,0.72,0.013,A0V
5.88,16.1,0.53,0.139,A2V
6.73,5.61,0.78,0.93,G8III
6.87,5.36,0.69,0.924,G8III
7.64,11.9,0.93,0.304,A5
8.92,6.64,0.78,0.523,F5IV
7.68,6.68,0.92,0.231,A2
5.7,51.76,0.78,0.61,G0
8.2,5.83,0.93,0.966,G8III
7.26,5.96,0.88,1.032,K0
7.59,6.0,1.01,0.99,K2
7.15,16.18,1.08,0.523,F8
10.26,30.33,2.14,1.36,M0
7.36,5.33,0.79,0.142,A2
7.66,14.96,0.98,0.483,F5
6.68,20.83,0.9,0.451,F6V
7.92,5.78,0.69,0.182,A0
6.53,13.86,0.78,0.263,F0V
7.49,15.25,0.97,0.468,F5V
8.69,8.58,0.76,1.006,K1III
7.13,4.4,0.53,0.972,G8III
8.0,4.9,0.7,0.033,A0V
5.15,5.75,0.71,1.293,K1III
7.53,5.03,0.57,-0.069,B9V
7.45,4.61,0.75,1.16,K0III
6.4,3.8,0.6,1.456,K2
6.65,4.72,0.83,1.191,K0
8.3,9.36,0.68,0.436,F3
5.01,5.53,0.73,1.843,M3III
9.27,8.09,1.21,0.583,G2
7.74,7.3,1.08,0.023,A0
6.86,6.09,0.48,0.171,A3
8.01,11.55,1.42,0.387,F5
6.12,5.12,1.01,0.035,A3V
8.23,9.93,0.66,0.399,F2IV
6.79,6.78,0.93,1.049,K0
8.55,13.18,0.9,0.483,F5V
8.06,3.7,0.61,0.919,G6
5.51,3.28,0.6,-0.163,B2
7.76,4.67,0.61,0.065,A0V
6.33,9.43,0.76,1.113,K2III
7.6,14.92,0.59,0.45,F3V
6.66,7.63,1.03,1.122,K1III
7.8,12.89,0.78,0.471,F2
9.89,32.3,2.1,1.197,M0IV
8.16,4.04,0.65,0.33,A6V
9.95,25.99,1.02,0.963,K3V
7.81,6.58,0.56,0.064,A2V
7.55,3.69,0.57,0.932,G8III
8.41,21.0,1.39,0.78,K0
6.86,8.67,0.91,0.008,A0
9.14,8.31,1.07,0.512,G0V
6.24,9.42,1.04,0.87,K0
8.86,6.95,1.26,0.436,F5
8.33,6.7,1.07,1.195,K0
7.96,12.55,1.12,0.51,F6V
8.05,5.17,1.02,0.829,G5IV
6.04,4.42,0.85,1.663,M1III
5.36,6.38,0.76,1.239,K1III
4.76,18.55,0.64,0.025,A0V
7.93,6.8,0.98,0.267,A5
8.76,8.59,1.14,0.447,F8
8.14,16.29,0.88,0.632,G1
6.62,6.0,0.89,0.97,K0
7.66,6.76,0.83,0.012,A1V
10.22,16.96,1.84,0.737,G6
9.2,9.98,1.39,0.524,G0
7.41,9.32,0.91,0.931,G5
6.83,31.33,0.82,0.561,F5
7.76,4.58,0.67,-0.075,A0III
6.22,8.17,0.84,-0.043,B9V
7.95,20.1,0.99,0.587,G0
6.9,4.97,0.86,1.141,K1III
8.15,4.3,0.73,0.445,F3IV
8.7,10.13,1.06,0.635,G0
9.13,21.97,0.82,0.861,K2V
9.16,14.07,0.86,0.655,G5V
6.91,16.27,0.56,0.513,F6V
7.96,9.66,0.61,0.388,F3V
8.68,25.4,0.82,0.837,K0V
7.9,4.75,0.66,1.073,K1III
8.39,12.85,0.7,0.524,F7
6.9,11.6,0.97,0.47,F7V
8.07,4.69,0.65,-0.018,A0V
8.03,10.73,1.16,0.596,G0
6.77,8.38,0.74,0.264,A5
8.35,11.13,1.26,0.543,F8
4.44,21.88,0.95,0.032,A2V
6.29,4.16,0.68,1.473,K3III
6.86,8.99,0.53,0.905,G8III
6.61,36.32,0.9,0.562,F8V
9.15,4.13,0.81,1.224,K1III
5.76,8.24,0.53,-0.08,B9V
7.15,8.74,0.92,0.37,F0
7.91,12.2,0.64,0.389,F3IV
6.61,4.63,0.59,1.254,K2
9.53,7.42,1.46,0.34,F0
8.17,7.92,0.66,0.321,F2V
8.19,4.67,0.85,0.927,G8
6.67,7.73,0.92,-0.026,B9V
4.91,6.44,0.73,1.613,M1III
6.95,7.55,0.6,1.171,K1
8.99,9.78,1.1,0.49,F5
5.67,5.95,0.88,1.578,K3I
7.64,10.27,1.59,0.602,G0
7.92,5.8,0.92,0.246,A9V
6.61,38.92,0.56,0.657,G4V
6.94,8.67,0.85,0.308,A5
9.02,11.1,0.75,0.585,G0V
7.94,5.73,1.12,0.965,K0
8.61,10.47,0.75,0.468,F5V
9.83,35.74,1.53,1.273,K7V
8.68,6.8,0.8,0.402,F0V
7.69,19.83,1.02,0.687,G5
8.01,8.45,1.1,0.397,F0
7.22,8.35,0.92,0.319,A2
7.85,7.0,0.71,0.149,A1
3.02,9.7,0.58,-0.16,B2
7.26,9.29,1.02,0.402,F0
7.99,5.97,1.09,0.085,A0
9.56,6.52,0.86,0.389,F2V
7.54,16.86,0.65,0.48,F5
8.62,19.93,1.14,0.7,G0
6.81,3.2,0.56,1.18,K1III
8.05,3.75,0.68,0.33,F0V
9.04,8.27,1.03,0.472,F5V
6.49,5.1,0.66,1.132,K0III
8.74,8.95,0.86,0.972,K0V
8.9,10.15,1.06,0.595,G0
6.57,3.98,0.67,1.297,G5
7.56,10.78,1.03,0.315,F0
8.17,3.82,0.69,1.285,K3III
8.37,17.0,0.94,0.746,G5
7.44,11.72,1.06,0.201,A0
6.75,14.38,0.85,0.281,A5
8.73,10.33,1.91,0.7,F8
8.57,10.54,1.06,0.516,F5
7.31,8.68,0.54,1.036,K0III
7.88,5.46,0.73,0.782,G3V
7.65,6.84,0.59,0.234,A6III
7.48,5.35,0.91,0.801,G6V
6.99,10.01,0.71,0.372,F3V
7.6,5.39,0.94,-0.048,B9
8.33,15.84,0.67,0.595,G0V
7.82,11.11,0.96,0.385,F2
8.43,11.79,0.69,0.633,G0V
7.02,17.81,1.22,0.375,F0
8.03,5.76,0.96,0.078,A0V
8.51,8.1,1.45,0.332,A9V
7.91,4.84,0.89,-0.035,A0
6.41,9.64,1.29,0.048,A1V
8.0,7.96,0.8,0.546,F6
7.62,8.42,0.99,0.056,A0
8.36,10.51,0.64,0.438,F2IV
6.96,5.83,0.5,0.233,A7III
6.3,9.76,1.05,0.251,A4
6.32,7.81,0.96,1.1,G9III
9.09,24.89,1.61,0.914,K0
7.72,15.66,1.35,0.506,F6V
8.18,6.38,0.79,0.29,A0
8.48,35.92,1.11,0.915,K2V
8.59,7.8,0.74,0.445,F3
8.82,14.13,1.16,0.619,G0
7.73,22.64,0.94,0.619,G3
9.36,7.89,0.9,0.774,G6IV
8.09,6.17,0.91,0.436,F2V
6.79,2.65,0.51,1.654,M3III
8.85,10.84,1.34,0.515,F8
7.63,24.33,0.92,0.686,G4V
8.11,14.58,0.87,0.56,F7V
6.68,7.79,1.18,0.947,G5
5.34,17.54,0.73,0.448,F5III
6.74,13.84,0.51,0.227,A5V
8.98,21.14,0.73,0.793,K0V
9.25,18.67,0.86,0.76,K0IV
9.12,16.61,1.01,0.655,G6V
8.18,6.9,1.08,0.359,A0
6.88,8.82,0.89,1.02,G5
7.64,14.39,0.94,0.573,F8
6.05,7.73,0.88,0.153,A3V
7.24,4.95,0.7,1.026,K0III
7.43,10.93,0.91,0.209,A2
6.51,7.05,0.84,1.15,K0III
3.85,13.75,0.6,0.858,G7II
7.2,16.21,0.86,0.38,F0
7.89,4.57,0.72,1.074,K0III
8.31,10.15,0.93,0.436,F3V
7.53,7.06,0.89,1.049,K0
6.84,3.23,0.53,-0.104,B8IV
9.14,8.7,1.39,0.448,F8
7.53,5.84,0.87,0.32,F0
8.64,8.21,1.09,0.41,F0
9.18,10.92,1.38,0.433,F5
6.53,42.56,0.49,0.614,G1V
9.82,9.48,1.34,0.686,F5
9.54,7.52,0.82,0.489,F5V
6.0,15.87,1.0,0.319,F0III
9.04,4.21,0.83,0.958,G8III
5.56,5.48,0.5,1.51,K5III
9.43,8.06,0.88,0.818,G6IV
8.67,6.49,0.74,0.582,F8V
1.98,6.53,0.66,-0.24,B1II
6.89,8.72,0.94,0.11,A3
8.16,8.43,0.71,0.542,F8IV
6.73,3.42,0.55,1.139,K1III
5.6,19.87,0.76,0.242,A
2.87,14.07,0.93,1.621,M3III
7.37,34.02,0.75,0.663,K0
8.79,7.31,1.29,0.308,A3
6.3,3.05,0.51,1.612,M1III
7.86,12.34,0.82,0.524,F8
6.47,7.12,0.75,1.075,K1III
8.31,4.68,0.91,0.975,G5
8.1,3.14,0.6,0.043,A0V
8.26,5.83,1.07,-0.043,B7V
8.55,8.09,1.0,0.544,F5
6.53,7.37,0.6,-0.073,A
7.42,4.85,0.95,0.041,A0
8.51,7.06,0.68,0.489,F5V
6.31,9.81,0.59,0.893,G8III
8.41,15.43,0.71,0.741,G5V
7.68,13.53,0.72,0.42,F3V
6.96,10.61,0.94,0.225,A8IV
6.66,8.37,0.87,0.063,A2V
7.71,5.29,0.94,0.079,A0
6.99,4.29,0.78,1.068,K1
7.43,5.75,1.04,0.071,A0
7.22,4.45,0.79,1.346,K2
8.04,10.1,2.02,0.362,F0
8.62,11.65,1.52,0.662,K0V
6.81,7.13,0.86,1.058,G5
7.43,10.53,0.73,0.428,F3V
6.57,6.25,0.79,0.307,A9
4.39,25.39,1.02,0.215,A5IV
9.33,14.56,1.5,0.691,G5
6.47,10.22,0.47,0.12,A3V
8.74,9.43,0.87,0.498,F6
5.61,4.68,0.63,1.561,K5III
8.35,9.28,1.37,0.388,F5
-0.62,10.43,0.53,0.164,F0I
7.86,15.55,0.69,0.71,G6V
8.08,4.49,0.81,1.04,G5
5.62,10.58,0.6,1.027,K1II
7.72,6.79,0.6,0.446,F2IV
8.23,6.65,0.84,0.485,F3IV
6.84,7.67,0.62,0.932,G6
5.21,7.76,0.74,1.23,K3III
7.1,7.57,0.87,1.052,K0
5.78,11.37,0.45,-0.001,A0V
9.16,7.03,0.77,0.806,G8V
6.98,5.03,0.9,0.98,G5
7.62,7.27,0.59,0.327,A8III
6.67,35.85,0.52,0.673,G5V
7.98,14.94,0.88,0.53,F6V
8.86,4.23,0.76,0.927,G5IV
6.45,31.46,0.52,0.66,G3III
8.23,12.7,0.95,0.415,F0
7.59,22.29,1.05,0.629,G0
8.03,7.26,1.26,0.475,F5
7.56,6.45,0.98,0.258,A3
6.56,5.47,0.9,1.19,K0
7.87,10.6,1.03,0.427,F2
8.66,16.11,0.76,0.661,G5V
6.37,45.38,0.63,0.626,G2V
6.3,6.24,0.53,-0.049,B9V
7.7,17.11,0.93,0.48,F5
7.03,20.58,0.94,0.508,F5
9.43,11.55,1.08,0.57,G2
8.97,10.21,0.86,0.655,G3V
6.35,8.47,0.87,1.063,G9III
8.11,14.41,0.97,0.614,G2V
9.33,9.03,0.92,0.74,G3
6.26,4.59,0.51,-0.119,B6V
8.98,4.77,0.88,0.698,G3V
7.7,6.74,1.2,0.571,F8
9.38,9.78,0.87,0.552,F6V
7.54,11.2,0.53,0.406,F0V
7.13,7.93,0.88,1.0,K0
8.81,20.25,0.91,0.716,G5V
5.88,30.22,0.92,0.564,F8V
7.01,30.36,0.92,0.593,F8
7.25,5.18,0.98,1.015,K0
9.1,4.38,0.87,0.935,K0III
8.23,8.06,0.67,0.385,F2IV
7.81,4.89,0.93,0.04,A0
8.82,14.94,1.55,0.68,G2III
5.37,12.25,0.49,0.971,G8III
6.24,6.44,0.62,1.353,K3III
8.83,10.77,1.23,0.475,G0
6.54,5.23,0.96,0.11,A0
7.18,9.85,1.07,0.273,A4V
7.07,6.99,0.82,0.56,F8
8.08,30.69,0.81,0.719,K0V
7.31,5.6,0.82,-0.072,B7V
8.69,5.43,0.66,0.516,F5V
8.26,5.18,0.63,1.135,K2III
9.64,9.5,1.7,0.693,G
7.88,4.02,0.68,-0.049,A
6.53,9.03,0.96,0.93,G5
5.76,4.83,0.52,-0.061,B9V
7.07,4.07,0.69,1.016,K0III
7.04,5.54,0.72,0.219,A5V
6.51,5.89,0.79,-0.027,A0V
9.3,7.41,1.25,0.272,A2
6.6,6.41,0.89,0.963,G5
6.39,7.18,0.89,0.077,A0
7.06,4.42,0.67,1.585,K5
6.87,16.87,0.8,0.371,F2
6.4,5.86,0.74,0.145,A4V
9.57,10.15,1.59,0.793,K0
